festival_kr,festival,place,place_en,begin_date,end_date,contents,contents_en,organizer,organizer_en,host,host_en,sponsor,sponsor_en,phone,website,additional,address,address_old_style,latitude,longitude,updated,data_organization_code,data_organization,data_organization_en,address_en,address_old_en
치악산한우축제,Chiaksan Korean Beef Festival,댄싱공연장 주차장,Dancing concert hall parking lot,2023-10-01,2023-10-01,지역 한우 판매 등,"Local Korean beef sales, etc.",농업기술센터 축산과,Agricultural Technology Center Livestock Department,농업기술센터 축산과,Agricultural Technology Center Livestock Department,강원도 원주시청,"Wonju City Hall, Gangwon-do",033-737-4195,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,2023-05-17,4190000,강원도 원주시,"Wonju-si, Gangwon-do","170 Dangu-ro, Wonju-si, Gangwon-do","345 Myeongryun-dong, Wonju-si, Gangwon-do"
원주 독서대전,Wonju Reading Daejeon,시립중앙도서관,City Central Library,2023-10-01,2023-10-01,학술토론+전시체험 등,"Academic discussion + exhibition experience, etc.",평생교육원 시립중앙 도서관,Lifelong Education Center City Central Library,평생교육원 시립중앙 도서관,Lifelong Education Center City Central Library,강원도 원주시청,"Wonju City Hall, Gangwon-do",033-737-3817,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614,2023-05-17,4190000,강원도 원주시,"Wonju-si, Gangwon-do","170 Dangu-ro, Wonju-si, Gangwon-do","345 Myeongryun-dong, Wonju-si, Gangwon-do"
원주 평생학습 축제,Wonju Lifelong Learning Festival,원주문화원 일원,Wonju Cultural Center member,2023-10-06,2023-10-07,개막식+공연+전시+체험 등,"Opening ceremony + performance + exhibition + experience, etc.",원주시 평생교육원 학습관,Wonju City Lifelong Education Center Learning Center,원주시 평생교육원 학습관,Wonju City Lifelong Education Center Learning Center,강원도 원주시청,"Wonju City Hall, Gangwon-do",033-737-3808,www.wonju.go.kr,,강원도 원주시 원일로 139,강원도 원주시 일산동 211,37.3515851,127.9467947,2023-05-17,4190000,강원도 원주시,"Wonju-si, Gangwon-do","139 Wonil-ro, Wonju-si, Gangwon-do","211 Ilsan-dong, Wonju-si, Gangwon-do"
제20회 예래생태체험축제,The 20th Yerae Ecological Experience Festival,예래 논짓물 일원,Yerae Nonjitmul area,2022-07-30,2022-07-31,생태마을탐방+맨손으로 넙치잡기+노래자랑 등,"Tour of ecological village + catching flounder with bare hands + singing show, etc.",예래생태체험축제위원회,Yerae Ecological Experience Festival Committee,예래동주민자치위원회,Yerae-dong Resident Autonomy Committee,,#VALUE!,064-760-4845,https://seogwipo.go.kr/festivals/yerae/info/intro.htm,,제주특별자치도 서귀포시 예래해안로 256,제주특별자치도 서귀포시 하예동 532-3,33.23654976,126.3887523,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","256 Yeraehaean-ro, Seogwipo-si, Jeju-do","532-3 Haye-dong, Seogwipo-si, Jeju-do"
제40회 서귀포유채꽃축제 (축제명칭 변경),The 40th Seogwipo Rape Flower Festival (Festival name changed),가시리 유채꽃광장 일대,Gasiri Rape Flower Plaza area,2023-03-31,2023-04-02,유채꽃밭 관람+공연+체험 등,"Viewing rape flower fields + performances + experiences, etc.",서귀포유채꽃축제조직위원회,Seogwipo Rape Flower Festival Organizing Committee,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province",,#VALUE!,064-760-3942,http://www.seogwipo.go.kr/festivals/uchae/index.htm,,제주특별자치도 서귀포시 표선면 녹산로 381-15,제주특별자치도 서귀포시 표선면 가시리 3149-33,33.383096,126.736285,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","381-15 Noksan-ro, Pyoseon-myeon, Seogwipo-si, Jeju-do","3149-33, Gasi-ri, Pyoseon-myeon, Seogwipo-si, Jeju-do"
제25회 서귀포유채꽃국제걷기대회,The 25th Seogwipo Rape Flower International Walking Competition,제주월드컵경기장 광장 및 서귀포시 일원,Jeju World Cup Stadium Square and Seogwipo City Area,2023-03-25,2023-03-26,유채꽃 걷기 대회,Rape Flower Walking Competition,(사)서귀포시관광협의회,Seogwipo City Tourism Council,제주특별자치도 서귀포시+(사)한국체육진흥회,"Seogwipo City, Jeju Special Self-Governing Province + Korea Sports Promotion Association",,#VALUE!,064-760-3320,https://cafe.daum.net/seogwipo-walking,,제주특별자치도 서귀포시 월드컵로 33,,33.246219,126.509275,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","33 Worldcup-ro, Seogwipo-si, Jeju-do",#VALUE!
가파도청보리축제,Gapado Green Barley Festival,대정읍 가파도 일원,"Gapado area, Daejeong-eup",2023-04-08,2023-04-16,청보리 밭+올레길 걷기+소망돌탑쌓기+버스킹(주말) 등,"Green barley field + walking on the Olle trail + building wishing stone towers + busking (weekends), etc.",가파도청보리축제위원회,Gapado Green Barley Festival Committee,제주특별자치도 서귀포시 대정읍,Jeju Seogwipo daejeongeup,,#VALUE!,064-760-4085,https://www.seogwipo.go.kr/festivals/cheongbori/index.htm,,제주특별자치도 서귀포시 대정읍 가파로67번길,,33.1688979,126.271532,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","Gapa-ro 67beon-gil, Daejeong-eup, Seogwipo-si, Jeju-do",#VALUE!
한라산청정고사리축제,Hallasan Clean Fern Festival,서귀포시 남원읍 한남리 산 76-7 일원,"Area around 76-7 San, Hannam-ri, Namwon-eup, Seogwipo-si",2023-04-29,2023-04-30,고사리 꺾기+고사리 음식 만들기+고사리 풍습체험+고사리 사진 콘테스트 등,"Cutting ferns + making fern food + experiencing fern customs + fern photo contest, etc.",남원읍 축제위원회,Namwon-eup Festival Committee,제주특별자치도 서귀포시 남원읍,"Namwon-eup, Seogwipo-si, Jeju-do",,#VALUE!,064-760-4181,http://www.jejugosari.net/index.php,,제주특별자치도 서귀포시 남원읍 한남리 산 76-7 일원,,33.330055,126.6773352,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","Area of ​​San 76-7, Hannam-ri, Namwon-eup, Seogwipo-si, Jeju-do",#VALUE!
보목자리돔축제,Bomokjari Dome Festival,서귀포시 보목마을 포구 일원,"Area of ​​Bomok Village Port, Seogwipo-si",2023-05-26,2023-05-18,보목해안도로 걷기+자리돔 맨손잡기+카약 체험+자리돔 경연 등,"Walking along Bomok Coastal Road + holding Jaridom with bare hands + kayaking experience + Jaridomme contest, etc.",보목어촌계,Bomok fishing village,보목자리돔축제위원회,Bomokjari Dome Festival Committee,,#VALUE!,064-733-3508,https://www.seogwipo.go.kr/festivals/damselfish/index.htm,,제주특별자치도 서귀포시 보목포로 46,,33.23921289,126.6067626,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","46 Bomokpo-ro, Seogwipo-si, Jeju-do",#VALUE!
제28회 표선해변 하얀모래축제,The 28th Pyoseon Beach White Sand Festival,표선해수욕장 일대,Pyoseon Beach area,2023-07-29,2023-07-30,개막식+맨손 광어잡기+조개잡기+씨름대회+기요제 등,"Opening ceremony + catching flounder with bare hands + catching clams + wrestling competition + giyo festival, etc.",표선리청년회,Pyoseon-ri Youth Association,표선리마을회,Pyoseon-ri Village Association,,#VALUE!,064-760-4415,https://seogwipo.go.kr/festivals/pyoseon/index.htm,,,제주특별자치도 서귀포시 표선면 표선리 표선해수욕장,33.32429556,126.8266869,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province",#VALUE!,"Pyoseon Beach, Pyoseon-ri, Pyoseon-myeon, Seogwipo-si, Jeju-do"
제21회 예래생태체험축제,The 21st Yerae Ecological Experience Festival,논짓물 및 예래동 일원,Nonjitmul and Yerae-dong area,2023-09-29,2023-09-30,가요제+달빛걷기+소원등 만들기 등,"Song festival + moonlight walk + wishing lantern making, etc.",예래생태체험축제위원회,Yerae Ecological Experience Festival Committee,예래동주민자치위원회,Yerae-dong Resident Autonomy Committee,,#VALUE!,064-760-4845,https://seogwipo.go.kr/festivals/yerae/index.htm,,제주특별자치도 서귀포시 예래해안로 256,제주특별자치도 서귀포시 하예동 532-3,33.23654976,126.3887523,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","256 Yeraehaean-ro, Seogwipo-si, Jeju-do","532-3 Haye-dong, Seogwipo-si, Jeju-do"
제19회 쇠소깍축제,19th Soesokkak Festival,하효항 일대,Hahyo Port area,2023-09-09,2023-09-10,개회식+축하공연+불꽃놀이+보물찾기+테우 및 카약 무료체험+현장참여 이벤트 등,"Opening ceremony + celebratory performance + fireworks + treasure hunt + free ride and kayak experience + on-site participation events, etc.",효돈동연합청년회,Hyodon-dong United Youth Association,효돈동연합청년회,Hyodon-dong United Youth Association,,#VALUE!,064-760-4623,https://seogwipo.go.kr/festivals/blacksand/info/intro.htm,,제주특별자치도 서귀포시 쇠소깍로 151-7,제주특별자치도 서귀포시 하효동 999-3,33.25016656,126.620922,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","151-7 Soesokkak-ro, Seogwipo-si, Jeju-do","999-3, Hahyo-dong, Seogwipo-si, Jeju-do"
제29회 서귀포칠십리축제,The 29th Seogwipo Chilsimni Festival,제주월드컵경기장 광장 일대,Jeju World Cup Stadium Square Area,2023-10-13,2023-10-15,칠십리 마을문화예술제+공연+체험 등,"Chilsimni Village Culture and Arts Festival + Performance + Experience, etc.",서귀포칠십리축제추진위원회,Seogwipo Chilsimni Festival Promotion Committee,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province",,#VALUE!,064-760-3942,https://seogwipo.go.kr/festivals/70ni/info/intro.htm,,제주특별자치도 서귀포시 월드컵로 33,,33.246219,126.509275,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","33 Worldcup-ro, Seogwipo-si, Jeju-do",#VALUE!
제18회 중문칠선녀축제,18th Jungmun Seven Fairy Festival,중문관광단지 내 테디베엄뮤지엄 앞 도로,Road in front of Teddy Bear Museum in Jungmun Tourist Complex,2023-10-02,2023-10-03,중문 칠선녀 축제,Jungmun Chilseonyeo Festival,중문동연합청년회,Jungmun-dong United Youth Association,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province",,#VALUE!,064-760-4824,https://seogwipo.go.kr/festivals/sevenbeauty/info/intro.htm,,,제주특별자치도 서귀포시 색달동 2864-4,33.25074441,126.4124638,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province",#VALUE!,"2864-4, Saekdal-dong, Seogwipo-si, Jeju-do"
제29회 제주 성읍마을 전통민속재현축제,The 29th Jeju Seongeup Village Traditional Folk Reproduction Festival,제주성읍마을 남문광장,Jeju Seongeup Village Nammun Square,2023-11-03,2023-11-05,초가집줄놓기+전통혼례식 등 문화예술행사,Cultural and artistic events such as rowing thatched roofs and traditional wedding ceremonies,(사)성읍민속마을보존회+성읍1리 마을회,Seongeup Folk Village Preservation Association + Seongeup 1-ri Village Association,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province",,#VALUE!,064-787-1306,https://seogwipo.go.kr/festivals/seongeup/info/intro.htm,,제주특별자치도 서귀포시 표선면 성읍정의현로 30,제주특별자치도 서귀포시 표선면 성읍리 855-1,33.384904,126.8014971,2023-12-04,6520000,제주특별자치도 서귀포시,"Seogwipo City, Jeju Special Self-Governing Province","30, Seongeupjeonguihyeon-ro, Pyoseon-myeon, Seogwipo-si, Jeju-do","855-1 Seongeup-ri, Pyoseon-myeon, Seogwipo-si, Jeju-do"
단종문화제,Danjong Cultural Festival,장릉 및 영월읍 일원,Jangneung and Yeongwol-eup area,2022-04-29,2022-05-01,조신시대국장재현+정순왕후선발대회+야간칡줄다리기,Reenactment of the Joseon Dynasty National Director + Queen Jeongsun selection contest + Night-time kudzu tug-of-war,영월문화재단,Yeongwol Cultural Foundation,강원도 영월군,"Yeongwol-gun, Gangwon-do",문화체육관광부+강원도+강원랜드,"Ministry of Culture, Sports and Tourism + Gangwon Province + Gangwon Land",033-375-6353,http://www.ywcf.com/,장릉+청령포+단종+동강둔치+국장,강원도 영월군 영월읍 단종로 24,강원도 영월군 영월읍 영흥리 961-2,37.18609549,128.4681825,2022-06-15,4270000,강원도 영월군,"Yeongwol-gun, Gangwon-do","24 Danjong-ro, Yeongwol-eup, Yeongwol-gun, Gangwon-do","961-2, Yeongheung-ri, Yeongwol-eup, Yeongwol-gun, Gangwon-do"
동강국제사진제,Donggang International Photo Festival,동강사진박물관,Donggang Photography Museum,2022-07-22,2022-10-09,동강사진상+워크숍+사진예술전시,Donggang Photography Award + Workshop + Photography Art Exhibition,영월문화재단,Yeongwol Cultural Foundation,강원도 영월군,"Yeongwol-gun, Gangwon-do",강원도,Gangwon-do,033-375-6353,http://www.ywcf.com/,동강사진상+워크숍+사진예술전시,강원도 영월군 영월읍 영월로 1909-10,강원도 영월군 영월읍 하송리 217-2,37.18193994,128.4615511,2022-06-15,4270000,강원도 영월군,"Yeongwol-gun, Gangwon-do","1909-10, Yeongwol-ro, Yeongwol-eup, Yeongwol-gun, Gangwon-do","217-2 Hasong-ri, Yeongwol-eup, Yeongwol-gun, Gangwon-do"
영월동강뗏목축제,Yeongwol-dong River Raft Festival,동강둔치 일원,Donggangdunchi area,2022-07-28,2022-07-30,전통뗏목시연+맨손송어잡기+래프팅,Traditional raft demonstration + catching trout with bare hands + rafting,영월문화재단,Yeongwol Cultural Foundation,강원도 영월군,"Yeongwol-gun, Gangwon-do",강원랜드,Gangwon Land,033-375-6353,http://www.ywcf.com/,삼굿시연+뗏목+동강둔치+래프팅+카누+물놀이,,강원도 영월군 영월읍 하송리 61-11,37.17968547,128.4698463,2022-06-15,4270000,강원도 영월군,"Yeongwol-gun, Gangwon-do",#VALUE!,"61-11 Hasong-ri, Yeongwol-eup, Yeongwol-gun, Gangwon-do"
제36회 지용제,The 36th Jiyong Festival,지용생가 및 상계체육공원 등 구읍 일원,"Jiyong’s birthplace and Sanggye Sports Park, etc. throughout the district",2023-09-07,2023-09-10,지용문학상 시상식+시노래콘서트+향수콘서트+지용백일장 등,"Jiyong Literary Award Ceremony + Poetry Song Concert + Perfume Concert + Jiyong Baekiljang, etc.",옥천문화원·각 문화예술단체,"Okcheon Cultural Center, various cultural and artistic organizations",충청북도 옥천군청·옥천문화원,"Okcheon-gun Office, Chungcheongbuk-do, Okcheon Cultural Center",충청북도,Chung-cheong bukdo,043-730-3403,http://gy-festival.okcc.or.kr/html/kr/,,충청북도 옥천군 옥천읍 매동로 209,충청북도 옥천군 옥천읍 상계리 14-2,36.31880041,127.5827071,2023-11-28,4430000,충청북도 옥천군,"Okcheon-gun, Chungcheongbuk-do","209, Maedong-ro, Okcheon-eup, Okcheon-gun, Chungcheongbuk-do","14-2, Sanggye-ri, Okcheon-eup, Okcheon-gun, Chungcheongbuk-do"
제1회 향수옥천 유채꽃축제,The 1st Hyangyangokcheon Rape Flower Festival,옥천유채꽃단지 일원,Okcheon rape flower complex area,2023-04-15,2023-05-14,개막 축하공연+기념음악회+농·특산물 판매 등,"Opening celebration performance + commemorative concert + sales of agricultural and special products, etc.",동이면 유채꽃추진위원회,Dong-myeon Rape Flower Promotion Committee,충청북도 옥천군청,"Okcheon-gun Office, Chungcheongbuk-do",,#VALUE!,043-730-4533,,,,충청북도 옥천군 동이면 금암리 1139,36.28482117,127.6452944,2023-11-28,4430000,충청북도 옥천군,"Okcheon-gun, Chungcheongbuk-do",#VALUE!,"1139 Geumam-ri, Dong-myeon, Okcheon-gun, Chungcheongbuk-do"
2023 제11회 군산시간여행축제,2023 11th Gunsan Time Travel Festival,시간여행마을 일원,Time Travel Village member,2023-10-06,2023-10-09,근대를 축으로 한 시간여행축제,A time travel festival centered on modern times,군산시간여행축제추진위원회,Gunsan Time Travel Festival Promotion Committee,전라북도 군산시,"Gunsan-si, Jeollabuk-do",전라북도,Jeollabuk do,063-454-3302,http://festival.gunsan.go.kr/,주변관광지 : 군산근대역사박물관+초원사진관+동국사 등,전라북도 군산시 중앙로 178,전라북도 군산시 중앙로1가 11-1,35.98772627,126.711725,2023-11-28,4670000,전라북도 군산시,"Gunsan-si, Jeollabuk-do","178 Jungang-ro, Gunsan-si, Jeollabuk-do","11-1, Jungang-ro 1-ga, Gunsan-si, Jeollabuk-do"
제24회음성품바축제,24th Eumseong Pumba Festival,설성공원및꽃동네일원,Seolseong Park and Kkotdongne Garden,2023-05-17,2023-05-21,"글로벌품바래퍼경연대회, 품바라이브 등 공연 및 체험",Performances and experiences such as the Global Pumbaa Rapper Contest and Pumbaa Live,음성군 축제추진 위원회,Eumseong-gun Festival Promotion Committee,음성군 축제추진 위원회,Eumseong-gun Festival Promotion Committee,충청북도 음성군청,"Eumseong-gun Office, Chungcheongbuk-do",043-873-2241,http://www.pumba21.com/,문화관광축제및충청북도최우수축제,충청북도 음성군 음성읍 예술로 102,충청북도 음성군 음성읍 읍내리 366-17,36.93152313,127.6806296,2023-11-27,4470000,충청북도 음성군,"Eumseong-gun, Chungcheongbuk-do","102 Art, Eumseong-eup, Eumseong-gun, Chungcheongbuk-do","366-17 Eupnae-ri, Eumseong-eup, Eumseong-gun, Chungcheongbuk-do"
제42회설성문화제,42nd Seolseong Cultural Festival,설성공원일원,Seolseong Park area,2023-10-12,2023-10-15,"민속예술한마당놀이, 군민노래자랑 등 각종 체험","Various experiences such as folk art festival, county people’s singing contest, etc.",음성군 축제추진 위원회,Eumseong-gun Festival Promotion Committee,음성군 축제추진 위원회,Eumseong-gun Festival Promotion Committee,충청북도 음성군청,"Eumseong-gun Office, Chungcheongbuk-do",043-872-4084,http://eumseong.kccf.or.kr,4년만에대면개최,충청북도 음성군 음성읍 수정로 38,충청북도 음성군 음성읍 읍내리 446-1,36.93427623,127.6906949,2023-11-27,4470000,충청북도 음성군,"Eumseong-gun, Chungcheongbuk-do","38 Sujeong-ro, Eumseong-eup, Eumseong-gun, Chungcheongbuk-do","446-1 Eupnae-ri, Eumseong-eup, Eumseong-gun, Chungcheongbuk-do"
구시청나이트페스티벌,Old City Hall Night Festival,아시아음식문화지구,Asian Food Culture District,2023-07-14,2023-07-15,아시아+음식+문화를 주제로 한 상설축제 4회 개최,Held 4 permanent festivals with the theme of Asia + food + culture,광주광역시 동구,"Dong-gu, Gwangju Metropolitan City",광주광역시 동구,"Dong-gu, Gwangju Metropolitan City",,#VALUE!,062-608-2413,,,광주광역시 동구 서남로 1(동구청),광주광역시 동구 서석동 31,35.1461414,126.9230951,2023-11-28,3590000,광주광역시 동구,"Dong-gu, Gwangju Metropolitan City","1 Seonam-ro, Dong-gu, Gwangju Metropolitan City (Dong-gu Office)","31 Seoseok-dong, Dong-gu, Gwangju"
제61회 수원화성문화제,61st Suwon Hwaseong Cultural Festival,행궁광장 등 수원화성 일원,"Suwon Hwaseong area, including Haenggung Square",2024-10-04,2024-10-06,정조대왕의 효심과 부국강병의 원대한 꿈으로 축성된 세계문화유산 수원화성에서 펼쳐지는 3일간의 행사,"A three-day event held at Suwon Hwaseong Fortress, a world cultural heritage site built with King Jeongjo's filial piety and grand dream of a wealthy nation and strong military.",경기도 수원시+(재)수원문화재단,"Suwon City, Gyeonggi-do + Suwon Cultural Foundation",경기도 수원시,"Suwon-si, Gyeonggi-do",,#VALUE!,031-228-3068,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188256,127.0143944,2024-02-05,3740000,경기도 수원시,"Suwon-si, Gyeonggi-do","825 Jeongjo-ro, Paldal-gu, Suwon-si, Gyeonggi-do","6-2 Namchang-dong, Paldal-gu, Suwon-si, Gyeonggi-do"
2024 수원화성 미디어아트,2024 Suwon Hwaseong Media Art,"화서문, 장안문, 장안공원 일대","Hwaseomun Gate, Janganmun Gate, and Jangan Park area",2024-09-28,2024-10-20,수원화성 대표 건축물에 프로젝션 맵핑/인터렉티브 미디어아트/레이저 등 디지털 미디어 기술을 활용한 미디어아트쇼,A media art show utilizing digital media technologies such as projection mapping/interactive media art/laser on representative buildings of Suwon Hwaseong Fortress.,(재)수원문화재단,Suwon Cultural Foundation,경기도 수원시,"Suwon-si, Gyeonggi-do",,#VALUE!,031-228-2454,https://www.swcf.or.kr/hlfl/,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.2818782,127.0143876,2024-02-05,3740000,경기도 수원시,"Suwon-si, Gyeonggi-do","825 Jeongjo-ro, Paldal-gu, Suwon-si, Gyeonggi-do","6-2 Namchang-dong, Paldal-gu, Suwon-si, Gyeonggi-do"
2024 수원음식문화박람회,2024 Suwon Food Culture Expo,수원,Suwon,2024-10-04,2024-10-06,"전국요리경연대회, 국제자매도시조리사초청전 동시개최로 수원의 맛과 멋을 알리는 수원만의 특색있는 음식문화박람회",Suwon's unique food culture fair that promotes the taste and style of Suwon by simultaneously hosting the National Cooking Competition and the International Sister Cities Chef Invitational Exhibition,경기도 수원시,"Suwon-si, Gyeonggi-do",경기도 수원시,"Suwon-si, Gyeonggi-do",,#VALUE!,031-228-2233,,,경기도 수원시 팔달구 창룡대로 21(예정),경기도 수원시 팔달구 매향동 49(예정),37.282574,127.0189851,2024-02-05,3740000,경기도 수원시,"Suwon-si, Gyeonggi-do","21 Changnyong-daero, Paldal-gu, Suwon-si, Gyeonggi-do (planned)","49 Maehyang-dong, Paldal-gu, Suwon-si, Gyeonggi-do (planned)"
2024 금정산성축제,2024 Geumjeongsanseong Festival,금정산성광장 일원,Geumjeongsanseong Square area,2024-05-24,2024-05-26,개막식+주제공연+전시·체험마당+연계행사 등,"Opening ceremony + theme performance + exhibition/experience hall + related events, etc.",(재)금정문화재단,Geumjeong Cultural Foundation,부산광역시 금정구청,"Geumjeong-gu Office, Busan Metropolitan City",,#VALUE!,051-519-4062,,,,부산광역시 금정구 금성동 682,35.2452813,129.0570297,2024-02-14,3350000,부산광역시 금정구,"Geumjeong-gu, Busan",#VALUE!,"682 Geumseong-dong, Geumjeong-gu, Busan"
2024 지금여기 금정 관광후기 이벤트,2024 Here and Now Geumjeong Tourist Review Event,금정구 일대,Geumjeong-gu area,2024-02-01,2024-11-30,금정을 여행하는 누구나 나만의 금정 관광후기를 공유하고 타인의 관광후기를 공유 받을 수 있음,Anyone traveling to Geumjeong can share their own Geumjeong tour reviews and receive tour reviews from others.,부산광역시 금정구청,"Geumjeong-gu Office, Busan Metropolitan City",부산광역시 금정구청 문화관광과,"Culture and Tourism Department, Geumjeong-gu Office, Busan Metropolitan City",,#VALUE!,051-519-4081,,,부산광역시 금정구 중앙대로 1777,,35.2420498,129.0924585,2024-02-14,3350000,부산광역시 금정구,"Geumjeong-gu, Busan","1777 Jungang-daero, Geumjeong-gu, Busan",#VALUE!
울산옹기축제,Ulsan Onggi Festival,울주군 외고산옹기마을일원,Ulju-gun Oegosan Pottery Village area,2024-05-04,2024-05-06,웰컴투옹기마을(옹기주제전시+창작공연+옹기만들기체험+주민참여공연등),"Welcome to Pottery Village (pottery themed exhibition + creative performance + pottery making experience + resident participation performance, etc.)",(재)울주문화재단,Ulju Cultural Foundation,(재)울주문화재단,Ulju Cultural Foundation,문화체육관광부+울산광역시+울산광역시 울주군+울산광역시의회+울산광역시 울주군의회,"Ministry of Culture, Sports and Tourism + Ulsan Metropolitan City + Ulju-gun, Ulsan Metropolitan City + Ulsan Metropolitan City Council + Ulju-gun Council, Ulsan Metropolitan City",052-980-2233,https://www.onggi.or.kr,,울산광역시 울주군 온양읍 외고산3길 36,울산광역시 울주군 온양읍 고산리 501-18,35.435069,129.2795088,2024-02-16,3730000,울산광역시 울주군,"Ulju-gun, Ulsan Metropolitan City","36, Oegosan 3-gil, Onyang-eup, Ulju-gun, Ulsan Metropolitan City","501-18, Gosan-ri, Onyang-eup, Ulju-gun, Ulsan Metropolitan City"
2025 간절곶 해맞이 행사,2025 Ganjeolgot Sunrise Event,울주군 서생면 간절곶 일원,"Ganjeolgot area, Seosaeng-myeon, Ulju-gun",2024-12-31,2025-01-01,새해 해맞이 행사(송년행사+신년행사+새해떡국나눔+셔틀버스 운행 등),"New Year’s event (Year-end event + New Year event + New Year’s rice cake soup sharing + shuttle bus operation, etc.)",(재)울주문화재단,Ulju Cultural Foundation,(재)울주문화재단,Ulju Cultural Foundation,울산광역시+울산광역시 울주군+울산광역시의회+울산광역시 울주군의회,"Ulsan Metropolitan City + Ulju-gun, Ulsan Metropolitan City + Ulsan Metropolitan City Council + Ulju-gun Council, Ulsan Metropolitan City",052-980-2232,http://www.ucf.or.kr,,울산광역시 울주군 서생면 간절곶1길 39-2,울산광역시 울주군 서생면 대송리 28-1,35.35897306,129.3602963,2024-02-16,3730000,울산광역시 울주군,"Ulju-gun, Ulsan Metropolitan City","39-2, Ganjeolgot 1-gil, Seosaeng-myeon, Ulju-gun, Ulsan Metropolitan City","28-1 Daesong-ri, Seosaeng-myeon, Ulju-gun, Ulsan Metropolitan City"
제15회 청도유등제,The 15th Cheongdo Lantern Festival,청도천둔치,Cheongdo Cheondunchi,2024-06-03,2024-06-03,유등 점등 및 무대+체험+전시 행사 등,"Lighting, stage + experience + exhibition events, etc.",경상북도 청도군청,"Cheongdo County Office, Gyeongsangbuk-do",청도유등제봉행위원회,Cheongdo Equal Grade System Implementation Committee,,#VALUE!,054-372-6534,,,,경상북도 청도군 화양읍 송북리 98-3,35.65498121,128.7372391,2024-02-16,5190000,경상북도 청도군,"Cheongdo-gun, Gyeongsangbuk-do",#VALUE!,"98-3, Songbuk-ri, Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do"
2024청도반시축제,2024 Cheongdo Bansi Festival,청도야외공연장,Cheongdo Outdoor Performance Hall,2024-10-11,2024-10-13,청도반시전시판매행사 및 공연,Cheongdo Bansi exhibition sales event and performance,경상북도 청도군청,"Cheongdo County Office, Gyeongsangbuk-do",청도반시축제추진위원회,Cheongdo Bansi Festival Promotion Committee,,#VALUE!,054-370-6376,http://www.청도반시축제.kr,,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 457,35.64838523,128.7186823,2024-02-16,5190000,경상북도 청도군,"Cheongdo-gun, Gyeongsangbuk-do","1846, Cheongnyeo-ro, Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do","457 Dongcheon-ri, Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do"
2024청도세계코미디아트페스티벌,2024 Qingdao World Comedy Art Festival,청도야외공연장,Cheongdo Outdoor Performance Hall,2024-10-11,2024-10-13,코미디를 테마로 한 공연+전시+체험 등,"Comedy-themed performances + exhibitions + experiences, etc.",경상북도 청도군청,"Cheongdo County Office, Gyeongsangbuk-do",경상북도 청도군청,"Cheongdo County Office, Gyeongsangbuk-do",,#VALUE!,054-370-6376,http://www.청도코아페.kr,,경상북도 청도군 화양읍 청려로 1846,경상북도 청도군 화양읍 동천리 457,35.64838523,128.7186823,2024-02-16,5190000,경상북도 청도군,"Cheongdo-gun, Gyeongsangbuk-do","1846, Cheongnyeo-ro, Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do","457 Dongcheon-ri, Hwayang-eup, Cheongdo-gun, Gyeongsangbuk-do"
